00975902,_derivationally_related_form,_hypernym
07361128,_derivationally_related_form,_hypernym
09637512,_hypernym,_member_of_domain_usage
00151689,_derivationally_related_form,_hypernym
00006484,_synset_domain_topic_of,_hypernym,_has_part
00489837,_derivationally_related_form,_hypernym
08380340,_derivationally_related_form,_hypernym
00101779,_derivationally_related_form,_hypernym
03288225,_hypernym,_has_part
12096798,_member_meronym,_hypernym
05093890,_hypernym
06619428,_derivationally_related_form
02161922,_derivationally_related_form
02559180,_derivationally_related_form,_similar_to,_also_see
00217014,_derivationally_related_form,_hypernym
02758399,_derivationally_related_form,_hypernym
00867231,_derivationally_related_form,_hypernym
10153155,_hypernym,_member_of_domain_usage
01432601,_derivationally_related_form,_verb_group,_hypernym
01551871,_derivationally_related_form,_verb_group,_hypernym
01800422,_derivationally_related_form,_hypernym
02273120,_member_meronym,_hypernym
00621734,_derivationally_related_form,_verb_group,_hypernym
00045907,_derivationally_related_form,_hypernym
10502046,_derivationally_related_form,_hypernym
00365188,_derivationally_related_form,_verb_group
00639356,_derivationally_related_form,_also_see
12300441,_member_meronym,_hypernym
01544692,_also_see,_hypernym
00964569,_derivationally_related_form,_hypernym
06346461,_hypernym
03974215,_derivationally_related_form,_hypernym,_has_part
03563967,_derivationally_related_form,_hypernym
12090041,_member_meronym,_hypernym
01293389,_derivationally_related_form,_verb_group,_hypernym
09178999,_derivationally_related_form,_hypernym
10709529,_derivationally_related_form,_hypernym
13087625,_hypernym
11562747,_member_meronym,_hypernym
12744387,_member_meronym,_has_part
05044822,_derivationally_related_form,_hypernym
00396703,_derivationally_related_form,_synset_domain_topic_of
01590007,_also_see,_hypernym
04853948,_derivationally_related_form,_hypernym
01052248,_derivationally_related_form
01807770,_derivationally_related_form,_hypernym
10623354,_derivationally_related_form,_hypernym
15265518,_derivationally_related_form,_hypernym
02570062,_also_see,_hypernym
00971650,_derivationally_related_form,_hypernym
01266152,_derivationally_related_form,_hypernym
11410625,_derivationally_related_form,_hypernym
05807306,_derivationally_related_form,_hypernym
10599354,_hypernym
01558594,_member_meronym,_hypernym
04184095,_has_part
08307589,_derivationally_related_form,_hypernym
08463063,_derivationally_related_form,_hypernym
02047263,_derivationally_related_form
12095020,_member_meronym,_hypernym
02609764,_derivationally_related_form,_hypernym
05895138,_derivationally_related_form,_hypernym
06377133,_derivationally_related_form,_hypernym
04665813,_derivationally_related_form,_hypernym
01204191,_derivationally_related_form,_hypernym
13875970,_derivationally_related_form,_hypernym
08228665,_member_meronym,_hypernym
02390287,_derivationally_related_form,_hypernym
01233156,_derivationally_related_form,_hypernym
09748239,_hypernym,_member_of_domain_usage
00119074,_derivationally_related_form
00371487,_derivationally_related_form,_hypernym
03082807,_derivationally_related_form,_hypernym,_has_part
05071368,_derivationally_related_form,_hypernym
00916706,_derivationally_related_form
00053913,_derivationally_related_form,_hypernym
03730153,_derivationally_related_form,_synset_domain_topic_of,_hypernym
10312287,_derivationally_related_form,_hypernym
04192858,_derivationally_related_form,_hypernym
05280831,_hypernym,_has_part
00999245,_derivationally_related_form,_hypernym
07331759,_derivationally_related_form,_hypernym
02148369,_derivationally_related_form,_hypernym
01441100,_hypernym
06333653,_derivationally_related_form,_hypernym
00636461,_derivationally_related_form,_hypernym
13877918,_derivationally_related_form,_hypernym
13617952,_derivationally_related_form,_hypernym
03386011,_derivationally_related_form,_hypernym
00414174,_derivationally_related_form,_hypernym
08544813,_member_meronym,_hypernym,_has_part
05953416,_derivationally_related_form,_hypernym
01023820,_derivationally_related_form,_hypernym
10646325,_derivationally_related_form,_hypernym
12749679,_member_meronym,_hypernym
01568493,_member_meronym,_hypernym
06608617,_hypernym
