07200527,_derivationally_related_form,_hypernym
02409941,_derivationally_related_form,_hypernym
04004767,_derivationally_related_form,_synset_domain_topic_of,_hypernym
00707624,_derivationally_related_form,_hypernym
01438681,_derivationally_related_form,_hypernym
00968211,_derivationally_related_form,_hypernym,_verb_group
00699626,_derivationally_related_form
02484570,_derivationally_related_form,_hypernym,_verb_group
01544692,_also_see,_hypernym
07172756,_derivationally_related_form,_hypernym
10480018,_derivationally_related_form,_hypernym
02555434,_derivationally_related_form,_hypernym
07510923,_derivationally_related_form
01560731,_derivationally_related_form,_hypernym,_verb_group
13342692,_derivationally_related_form,_hypernym
05944958,_derivationally_related_form,_hypernym
00937208,_derivationally_related_form,_verb_group
05044528,_hypernym
02685665,_derivationally_related_form,_hypernym,_also_see
00759269,_derivationally_related_form,_hypernym,_also_see
02232190,_derivationally_related_form,_hypernym
00476389,_synset_domain_topic_of,_hypernym
00354634,_derivationally_related_form
02389592,_hypernym,_verb_group
06196284,_derivationally_related_form,_hypernym
00338071,_derivationally_related_form,_hypernym
05795044,_derivationally_related_form
10634316,_derivationally_related_form,_hypernym
00353782,_derivationally_related_form,_hypernym
01020005,_derivationally_related_form,_hypernym
03876519,_derivationally_related_form
02611630,_derivationally_related_form,_hypernym
06605396,_derivationally_related_form,_hypernym
00714884,_derivationally_related_form,_hypernym
04826235,_derivationally_related_form,_hypernym
02911485,_synset_domain_topic_of,_hypernym
05211044,_derivationally_related_form,_hypernym
00272391,_derivationally_related_form,_hypernym
01069190,_derivationally_related_form,_verb_group
13961642,_derivationally_related_form,_hypernym
05564323,_has_part,_hypernym
13524925,_synset_domain_topic_of,_hypernym
13518963,_derivationally_related_form,_hypernym
00420477,_derivationally_related_form,_synset_domain_topic_of,_hypernym
06410391,_derivationally_related_form,_hypernym
03082979,_synset_domain_topic_of,_has_part,_derivationally_related_form,_hypernym
01724459,_derivationally_related_form,_hypernym,_verb_group
10252222,_derivationally_related_form,_hypernym
07993279,_member_meronym,_hypernym
03599351,_derivationally_related_form,_hypernym
04836074,_derivationally_related_form,_hypernym
15253139,_synset_domain_topic_of,_hypernym
05269901,_has_part,_derivationally_related_form,_hypernym
01083504,_derivationally_related_form,_hypernym
05604950,_has_part,_hypernym
03493333,_has_part,_synset_domain_topic_of,_hypernym
02504131,_derivationally_related_form,_also_see
14940100,_derivationally_related_form
10169937,_member_meronym
00100253,_has_part,_hypernym
01111375,_derivationally_related_form,_synset_domain_topic_of,_hypernym
01008947,_derivationally_related_form
00241038,_derivationally_related_form,_hypernym
13486270,_derivationally_related_form,_hypernym
10426749,_derivationally_related_form,_hypernym
